,Sig1_len,Sig2_len,Sig3_len,Sig4_len,Sig5_len,Sig6_len,Sig7_len,Sig8_len,Sig9_len
70-80,0.004513877,0.001153662,0.001088173,0.048027283,1.19E-07,1.19E-07,1.19E-07,1.19E-07,0.000361369
80-90,0.003378057,0.002105171,0.004165462,0.063866409,0.000446898,0.000861174,0.001040649,0.00075074,0.000258039
90-100,0.000845429,0.004999293,0.013407254,0.083826005,0.001269448,0.001838648,0.003414765,0.00280361,1.19E-07
100_105,1.12E-05,0.003400363,0.013367392,0.052039222,0.000843482,0.001289949,0.003419044,0.002712897,1.19E-07
105_110,1.19E-07,0.004057288,0.016793575,0.045749913,0.000568625,0.001185962,0.006520574,0.002861834,0.000159261
110_115,1.19E-07,0.001643439,0.026046446,0.063387739,0.000938117,0.005336255,0.008131367,0.004364407,1.19E-07
115_120,0.000786741,1.19E-07,0.034475538,0.05265959,1.19E-07,0.005550677,0.012867191,0.004654224,0.000416334
120_125,6.27E-05,0.00137439,0.060130006,0.084673438,0.002665532,0.012079066,0.009677631,0.010808906,0.000514225
125_130,0.006453367,0.013650586,0.08928078,0.034574201,1.19E-07,1.19E-07,0.014520983,0.00882467,0.001161587
130_135,0.008503045,0.029726101,0.144345327,0.06387043,0.004058694,0.005764539,1.19E-07,0.025897842,0.005386697
135_140,0.006100676,0.056057928,0.130936007,0.048245885,0.000861798,0.001006281,0.009532842,0.039866513,0.010834858
140_145,0.00895456,0.061060067,0.128783198,0.083345039,0.003267612,0.011174101,0.009726136,0.072341582,0.023428577
145_150,0.004777295,0.106852831,0.142913796,0.040704343,0.009971739,1.19E-07,0.007511524,0.080727244,0.030393459
150_155,1.19E-07,0.101264056,0.081923731,0.053021908,0.015617095,0.011079844,0.023578589,0.103359133,0.045313679
155_160,0.015057061,0.063896851,0.037450433,0.04064986,0.005178515,0.01369719,0.045552968,0.128439269,0.071254905
160_165,0.055500248,0.006057312,0.01371654,0.018230373,2.37E-07,0.003949218,0.057240556,0.172952269,0.124343927
165_170,0.071956846,7.07E-07,1.19E-07,0.000123308,0.024854715,7.38E-05,0.051566633,0.182599812,0.183728131
170_175,0.041264353,0.009001835,0.009390155,0.000379025,0.093461767,0.054425739,0.022237306,0.09123937,0.156485861
175_180,0.000222558,0.038069812,0.001917468,0.031591797,0.15192464,0.084731069,1.19E-07,0.036286438,0.125671403
180_185,0.000773147,0.021896999,0.003731383,0.023207336,0.144638556,0.084194573,0.003355119,0.009919849,0.075705237
185_190,4.98E-07,0.020947971,2.48E-05,0.021330805,0.133954581,0.074261446,0.010590467,0.001635642,0.050427956
190_195,0.008809342,0.009220358,0.000528394,0.012929761,0.104165549,0.056684119,0.024301517,1.19E-07,0.030414066
195_200,0.014046317,0.005244289,1.19E-07,0.006015032,0.07936473,0.040504905,0.035872943,3.24E-05,0.019583131
200_205,0.016717673,0.001143132,0.000306747,0.002566192,0.059448878,0.029026157,0.043387745,0.000384713,0.012884867
205_210,0.016714545,1.19E-07,1.19E-07,1.19E-07,0.041768182,0.01870655,0.048266846,0.00066383,0.008198231
210_220,0.027103832,0.000751417,0.000262585,1.19E-07,0.050030577,0.021026395,0.099011492,0.001145882,0.008494748
220_230,0.016651626,0.006538673,0.000398701,0.002484144,0.022737552,0.006703968,0.091759314,0.000894746,0.003145365
230_240,0.008050771,0.013366305,0.000758954,0.005048425,0.009003512,0.000689949,0.079773059,0.000826902,0.001169966
240_250,0.003030156,0.01896631,0.002432886,0.005983918,0.003120754,3.44E-05,0.067244475,0.000679878,0.000701075
250_260,0.00053633,0.025617905,0.006109515,0.005671036,0.001768952,0.001174787,0.054949677,0.000203461,0.000356105
260_270,1.52E-05,0.034369163,0.009559745,0.003447225,0.00177415,0.001602636,0.043868937,1.19E-07,1.36E-07
270_280,0.000153569,0.046995939,0.009985467,0.00105457,0.001876367,0.003571975,0.034418672,0.000382911,1.19E-07
280_290,0.002383796,0.059017143,0.006607503,0.000473795,0.001654573,0.014521676,0.025754737,0.001725015,0.000301941
290_300,0.010245623,0.068247817,0.002903745,1.19E-07,0.000607243,0.034228124,0.019355095,0.003468325,0.001129232
300_310,0.026575335,0.067927272,0.000290491,1.19E-07,1.19E-07,0.064060286,0.013644952,0.00380744,0.002283459
310_320,0.050197123,0.047766826,1.19E-07,0.000285372,0.001505131,0.091356025,0.008392271,0.001944764,0.002834917
320_330,0.068345328,0.022618812,0.000875698,0.000465619,0.004899682,0.092890402,0.003781403,0.000280721,0.001896186
330_340,0.076287653,0.006982148,0.001461371,1.19E-07,0.006539124,0.074388477,0.001205368,1.19E-07,0.000675881
340_350,0.07631135,0.001156313,0.001291232,9.32E-06,0.00651014,0.049915246,1.61E-07,5.78E-05,1.19E-07
350_700,0.348662416,0.016853277,0.00233907,6.11E-05,0.008702375,0.026414019,0.004526638,0.000454545,8.46E-05
