,Sig1_len,Sig2_len,Sig3_len,Sig4_len,Sig5_len,Sig6_len,Sig7_len,Sig8_len,Sig9_len,Sig10_len
50-100,0.0146991747491075,0.256388259309612,0.0236547042834936,2.81659410226593e-05,1.19209289529202e-07,0.00583451834661685,0.00445073305417702,0.000900563906810344,0.00103076363455646,1.19209289545112e-07
100-105,0.00146911504038017,0.0636275723243644,0.0135249840083886,0.00108874498502306,0.00141282597569967,1.19209289512466e-07,1.19209289536069e-07,1.19209289515964e-07,0.00250184866977981,0.00661427277540258
105-110,0.00172790362991878,0.0550855483826417,0.0163140420995332,0.00234481754820994,0.00116207637013317,0.00021928434157593,3.01557518415538e-05,0.000147578844734938,0.00276597547092362,0.00868311144286829
110-115,1.19209289536918e-07,0.0750742644262832,0.0250397129956768,0.00143136387813083,0.00226377038880654,0.000528705612013491,0.00341740126908416,1.19209289515964e-07,0.00427251540059179,0.0107011562083563
115-120,0.000188478889742871,0.0601032685081163,0.0317334284970438,1.19209289544488e-07,0.000657822376145555,0.00185394193969773,0.00665399859155119,0.000123154822276097,0.00511189135665762,0.0178630541612996
120-125,1.19209289536918e-07,0.0912236119479323,0.0564133430729837,0.00387206644906399,0.00513308163798082,0.000828989735022496,0.00729000029885558,0.000348037439288317,0.0116286164339011,0.0211332888748734
125-130,0.0141348971737551,0.0251208286457484,0.0788276621382099,0.0132733113036123,1.19209289529202e-07,0.000231717359239018,0.000216728868854704,0.000389145778956992,0.0114164401880503,0.0412440423825524
130-135,0.0178401926398766,0.0465347827282515,0.132783866148814,0.0380876693015952,0.00534797450656374,0.00363000553625228,0.00129393708525649,0.00447959587010938,0.0291077150086071,0.0325032269535463
135-140,0.0130129571429583,0.0308371710039793,0.125945501465477,0.0645122105628426,0.000120287679577186,0.016394465127778,0.0086200683341672,0.00892490880167713,0.042000937851491,0.017987933204341
140-145,0.0134403309638682,0.0653091273218985,0.132156428840714,0.0778847557546228,0.00907595865659655,0.0136405376486976,0.0122020313404112,0.022176843715374,0.0728234601746608,0.00841052254250078
145-150,0.0194704045847665,0.00880398592836606,0.147673184912896,0.120792525471571,0.0132053722297198,0.0211923727285437,4.15990729065724e-07,0.0289272038430877,0.0815626295379219,0.000402776881171892
150-155,0.00136097534176184,0.0333466055936114,0.0984860431499739,0.112330892661117,0.0208013502739057,0.0338010489403144,0.0171163656342658,0.043513596950944,0.101918472130424,0.000151481469398307
155-160,1.34687828866097e-07,0.0279037068890894,0.0521280047366218,0.0646534795815838,0.0076983600115603,0.0380138166187021,0.0556716056734404,0.0677662108222956,0.127945721114634,0.0657774290498953
160-165,0.0327568748967626,0.00498944946117543,0.0212284408322003,0.0024696986592794,1.19209289529202e-07,0.0375452112008554,0.0880630030362768,0.119771092688966,0.174683384531124,0.1561835830934
165-170,0.0594801379146925,1.12190404708165e-06,3.18187875680865e-07,6.34886533852252e-06,0.0279893995132939,0.0124963882333472,0.0824128140863978,0.184066970904459,0.183349412420636,0.19328681766123
170-175,0.0390779512116632,0.00965049354997397,0.0035730198811127,0.0253322814249032,0.105630536865892,0.000707789309567405,0.0402276619132838,0.164970310888352,0.0895605377441811,0.0977530604273308
175-180,0.00814990832121317,0.0450638938956329,6.45632839680262e-06,0.0516717122370129,0.162896809832294,0.0268694446820738,2.63757795044066e-05,0.136838486000782,0.0337287739892944,0.0274246003461792
180-185,0.00334619442144529,0.0255743241920152,0.00338425471180898,0.0322344598885338,0.146696480681673,0.0677178852168872,0.000409441508724659,0.0822701350530271,0.00877783482524605,0.000462050348489086
185-190,0.0010696242078967,0.019250933273819,0.000913111746834523,0.0240992318666062,0.128488109083521,0.0982415967008575,3.68367697131253e-05,0.0532701375698209,0.00124851802989038,1.35935035823664e-06
190-195,0.00906566767728695,0.0088044237439448,0.00118569295151114,0.010666614293946,0.0955548819011905,0.104272298476896,0.00300813081285185,0.0304425425039132,4.0206084965596e-07,0.00499463587128373
195-200,0.015131726940272,0.00300278939676558,0.000121218159871427,0.00495302150086075,0.0694744299340823,0.101300450351449,0.00344942891124221,0.0180694774341092,0.000105867759002419,0.0112907310401608
200-210,0.0375650164905911,1.19209289515568e-07,9.82634484821532e-06,0.000204373526647245,0.0845689845311176,0.163783303041367,0.00665540156357864,0.0170558590711178,0.000983911931509391,0.0306224256166833
210-220,0.03204245280859,0.00160477316870441,1.19209289535156e-07,5.60048606070861e-05,0.0406155761396758,0.103905480449959,0.00474244440424969,0.00535072970345779,0.000705731791837602,0.0317363713068944
220-230,0.0220574159882479,0.00582439172024739,0.000149028111292861,0.00497700854622805,0.0190687441814294,0.0586454055896796,0.00124961313865066,0.00118876119071411,0.000343085786844413,0.030396004624945
230-240,0.0132297142044111,0.00800618165493036,0.000381859331278723,0.0103974967718996,0.00866988311627983,0.0303785995716332,3.67899065159807e-05,5.73208908722005e-05,0.000339011403912545,0.0299450783329447
240-250,0.00756598520544652,0.00798838013557259,0.00158440295748083,0.0147164352939694,0.00442885157340104,0.0144657757746681,0.000997921909803266,0.000141501149829529,0.000327480562349914,0.0297173453551563
250-260,0.00571097316625371,0.00607609130026082,0.00446118390432108,0.019642152733389,0.00381571680576064,0.00511413574337539,0.00097844863992087,0.00021010114082987,4.04198467275192e-05,0.0299701526866493
260-270,0.00666876984495491,0.00239517223176684,0.00749950517933677,0.0263059910021529,0.00373697025042176,0.000598293177216931,0.00044036154562533,4.15833327051905e-05,1.19209289512502e-07,0.0284428108259145
270-280,0.00705055126425055,1.19209289515568e-07,0.00835918169727721,0.0365479012565657,0.00310904764354724,0.000140030166145874,0.00340295091080937,1.19209289515964e-07,0.000419444404106435,0.0241576322875064
280-290,0.00314427739729028,3.85802023161984e-07,0.00663661462471436,0.0471370757045407,0.00192173247457379,0.00305611271264083,0.020342347475018,7.37758474072938e-06,0.0016999412107452,0.0164903745499404
290-300,5.08492413390482e-06,0.000413061242949139,0.00402655449096589,0.0554238475702408,0.000148948031224542,0.00633207803122704,0.0502820253302918,0.000469336153983666,0.0034156426349207,0.0122695159191788
300-310,0.000636323471865142,0.00170422923095795,0.00149073536998933,0.0570707755764363,1.19209289529202e-07,0.00787003858505792,0.0921514147391187,0.00147856742871893,0.00371504332576075,0.00840785427161874
310-320,0.0132313027300735,0.00294335401107705,1.19209289535156e-07,0.0431175553563511,0.00319975562894177,0.00544152769038478,0.12541340136156,0.00240709985424935,0.00183282217626202,0.00410941352812073
320-330,0.0343245791465542,0.0019567866883471,3.86784303640783e-07,0.0228062931297185,0.00728136637694786,0.00390368998555119,0.123733044715899,0.00184282761873212,0.000207001260359453,0.000641019135558477
330-340,0.0539113510955374,8.68172543208635e-07,0.000220566217382618,0.00835651517436082,0.00805310202615899,0.00488058483895392,0.0987124165173333,0.000698083602446864,1.19209289512502e-07,8.6689215959955e-06
340-350,0.0677008398604109,1.19209289515568e-07,8.63704002601396e-05,0.00150673373230889,0.00668092340966735,0.0061642381171725,0.0671894595260771,1.19209289515964e-07,6.83471287844159e-05,0.000215009294435014
350-700,0.429732473547612,0.00538980458548267,1.27018531170958e-07,3.48380418195892e-07,0.00109039305505892,1.19209289512466e-07,0.0690747043956301,0.00165438060145934,0.000360159784878174,1.07004893045394e-06
